pokemon_id,name,content,type1,type2,total,hp,attack,defense,sp_attack,sp_defense,speed,img_url,sprit_url
1,Bulbasaur,"<p>Bulbasaur is a Grass/Poison type Pokémon introduced in Generation 1.</p>
<p>Bulbasaur is a small, mainly turquoise amphibian Pokémon with red eyes and a green bulb on its back. It is based on a frog/toad, with the bulb resembling a plant bulb that grows into a flower as it evolves.</p>
<p>Bulbasaur is notable for being the very first Pokémon in the National Pokédex. It is one of the three choices for a starter Pokémon in the original Game Boy games, Pokémon Red & Blue (Red & Green in Japan), along with Charmander and Squirtle.</p>",Grass,Poison,318,45,49,49,65,65,45,https://img.pokemondb.net/artwork/large/bulbasaur.jpg,https://img.pokemondb.net/sprites/black-white/normal/bulbasaur.png
2,Ivysaur,<p>Ivysaur is a Grass/Poison type Pokémon introduced in Generation 1.</p>,Grass,Poison,405,60,62,63,80,80,60,https://img.pokemondb.net/artwork/large/ivysaur.jpg,https://img.pokemondb.net/sprites/black-white/normal/ivysaur.png
3,Venusaur,"<p>Venusaur is a Grass/Poison type Pokémon introduced in Generation 1.</p>
<p>Venusaur is a large, quadrupedal Pokémon with a turquoise body. It has small red eyes and several large ferns on its back and head. The plant bulb that was on the back of its previous evolutions, Bulbasaur and Ivysaur, has now bloomed into a large flower with large pink petals and a yellow center. The female has a seed in the center.</p>
<p>Venusaur is inspired by toads and the horned frog. The large flower is similar to the Rafflesia arnoldii, a parasitic plant with an unpleasant odor, referencing the Pokémon's Poison type.</p>
<p>Venusaur is notable for being the final evolution stage of one of the original starter Pokémon, along with Charizard and Blastoise. It has a Mega Evolution, available in Generation 6 games and Pokémon Go; it also has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Vine Lash.</p>",Grass,Poison,525,80,82,83,100,100,80,https://img.pokemondb.net/artwork/large/venusaur.jpg,https://img.pokemondb.net/sprites/black-white/normal/venusaur-f.png
4,Charmander,"<p>Charmander is a Fire type Pokémon introduced in Generation 1.</p>
<p>Charmander is a bipedal, reptilian Pokémon. Most of its body is colored orange, while its underbelly is light yellow and it has blue eyes. It has a flame at the end of its tail, which is said to signify its health.</p>
<p>Charmander's design is based on a lizard, however as its name suggests it may also have been inspired by salamanders, which in mythology have an affinity with fire.</p>
<p>Charmander is notable for being one of the three choices for a starter Pokémon in the original Game Boy games, Pokémon Red & Blue (Red & Green in Japan), along with Bulbasaur and Squirtle.</p>",Fire,,309,39,52,43,60,50,65,https://img.pokemondb.net/artwork/large/charmander.jpg,https://img.pokemondb.net/sprites/black-white/normal/charmander.png
5,Charmeleon,<p>Charmeleon is a Fire type Pokémon introduced in Generation 1.</p>,Fire,,405,58,64,58,80,65,80,https://img.pokemondb.net/artwork/large/charmeleon.jpg,https://img.pokemondb.net/sprites/black-white/normal/charmeleon.png
6,Charizard,"<p>Charizard is a Fire/Flying type Pokémon introduced in Generation 1.</p>
<p>Charizard is a large dragon-like Pokémon, mainly orange in color. It has two large wings, the underside of which are turquoise. Like Charmander and Charmeleon, it has a flame at the end of its tail.</p>
<p>The design of Charizard appears to draw inspiration from dragons of European folklore, with its large wings, horned head, and fiery breath.</p>
<p>Charizard is notable for being the final evolution stage of one of the original starter Pokémon, along with Venusaur and Blastoise. Although it looks like a dragon, it doesn't have the Dragon typing. However it has two Mega Evolutions, available in Generation 6 games and Pokémon Go, one of which replaces its Flying type with Dragon. Charizard also has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Wildfire.</p>",Fire,Flying,534,78,84,78,109,85,100,https://img.pokemondb.net/artwork/large/charizard.jpg,https://img.pokemondb.net/sprites/black-white/normal/charizard.png
7,Squirtle,"<p>Squirtle is a Water type Pokémon introduced in Generation 1.</p>
<p>Squirtle is a bipedal, reptilian Pokémon. It has a blue body with purple eyes, a light brown belly, and a tough red-brown shell on its back. It has a long tail that curls into a spiral.</p>
<p>Squirtle is primarily based on a turtle, taking inspiration from both land-dwelling and sea-dwelling varieties. The curly tail resembles a crashing wave.</p>
<p>Squirtle is notable for being one of the three choices for a starter Pokémon in the original Game Boy games, Pokémon Red & Blue (Red & Green in Japan), along with Bulbasaur and Charmander.</p>",Water,,314,44,48,65,50,64,43,https://img.pokemondb.net/artwork/large/squirtle.jpg,https://img.pokemondb.net/sprites/black-white/normal/squirtle.png
8,Wartortle,<p>Wartortle is a Water type Pokémon introduced in Generation 1.</p>,Water,,405,59,63,80,65,80,58,https://img.pokemondb.net/artwork/large/wartortle.jpg,https://img.pokemondb.net/sprites/black-white/normal/wartortle.png
9,Blastoise,"<p>Blastoise is a Water type Pokémon introduced in Generation 1.</p>
<p>Blastoise is a large, bipedal, reptilian Pokémon. It has a blue body with small purple eyes, a light brown belly, and a stubby tail. It has a large brown shell with two powerful water cannons on either side, which can be withdrawn.</p>
<p>Blastoise's design is heavily influenced by turtles and tortoises. The cannons likely draw inspiration from the concept of a mobile tank or battleship.</p>
<p>Blastoise is notable for being the final evolution stage of one of the original starter Pokémon, along with Venusaur and Charizard. It has a Mega Evolution, available in Generation 6 games and Pokémon Go; it also has a Gigantamax form available in Pokémon Sword/Shield, with an exclusive G-Max move, G-Max Cannonade.</p>",Water,,530,79,83,100,85,105,78,https://img.pokemondb.net/artwork/large/blastoise.jpg,https://img.pokemondb.net/sprites/black-white/normal/blastoise.png
10,Caterpie,<p>Caterpie is a Bug type Pokémon introduced in Generation 1.</p>,Bug,,195,45,30,35,20,20,45,https://img.pokemondb.net/artwork/large/caterpie.jpg,https://img.pokemondb.net/sprites/black-white/normal/caterpie.png
